,game_id,game_order,event,site,date_played,round,white,black,result,winner,loser,date_created,file_name
0,746c4532-ed97-42ed-8a56-4b527e9855e2,1,Computer Match,"London, UK",2018.01.18,11542767294934054345,AlphaZero,Stockfish 8,1-0,AlphaZero,Stockfish 8,2023-01-01T09:09:26+0000,alphazero_vs_stockfish_all.pgn
1,0379a8c9-0dbe-474c-afe4-3adfd0b921b2,2,Computer Match,"London, UK",2018.01.18,11882219725075081943,AlphaZero,Stockfish 8,1-0,AlphaZero,Stockfish 8,2023-01-01T09:09:26+0000,alphazero_vs_stockfish_all.pgn
2,1c25b908-c288-4c39-bdff-b041ed3f0ad6,3,Computer Match,"London, UK",2018.01.18,6854337384941683259,AlphaZero,Stockfish 8,1-0,AlphaZero,Stockfish 8,2023-01-01T09:09:26+0000,alphazero_vs_stockfish_all.pgn
3,f2143f6b-a6c2-40f8-9ab5-c2a649518895,4,Computer Match,"London, UK",2018.01.18,5392718751057140516,AlphaZero,Stockfish 8,1-0,AlphaZero,Stockfish 8,2023-01-01T09:09:26+0000,alphazero_vs_stockfish_all.pgn
4,aaa1aaab-4fbd-4742-887f-8ebb4b6c1264,5,Computer Match,"London, UK",2018.01.18,17494942703158718757,AlphaZero,Stockfish 8,1-0,AlphaZero,Stockfish 8,2023-01-01T09:09:26+0000,alphazero_vs_stockfish_all.pgn
5,40bbf9a4-16fa-4210-bf80-5190cd1c538f,6,Computer Match,"London, UK",2018.01.18,5236993464467552754,AlphaZero,Stockfish 8,1-0,AlphaZero,Stockfish 8,2023-01-01T09:09:26+0000,alphazero_vs_stockfish_all.pgn
6,ef388b50-377a-474a-bbab-cad377192979,7,Computer Match,"London, UK",2018.01.18,3353787938484647500,AlphaZero,Stockfish 8,1-0,AlphaZero,Stockfish 8,2023-01-01T09:09:26+0000,alphazero_vs_stockfish_all.pgn
7,dac694fd-75cc-47e9-b0f7-bf9dff9867f7,8,Computer Match,"London, UK",2018.01.18,5361299757472136882,Stockfish 8,AlphaZero,0-1,AlphaZero,Stockfish 8,2023-01-01T09:09:26+0000,alphazero_vs_stockfish_all.pgn
8,3b9c76fd-7c70-4297-bd4d-1e2ae8770b75,9,Computer Match,"London, UK",2018.01.18,17896041660018278286,Stockfish 8,AlphaZero,0-1,AlphaZero,Stockfish 8,2023-01-01T09:09:26+0000,alphazero_vs_stockfish_all.pgn
9,dd555dc6-1449-4317-ae79-3515ae37eaf8,10,Computer Match,"London, UK",2018.01.18,14385736216385115953,Stockfish 8,AlphaZero,1-0,Stockfish 8,AlphaZero,2023-01-01T09:09:26+0000,alphazero_vs_stockfish_all.pgn
10,8bbe2ac6-ac37-4687-b67e-e37d9ec657dc,11,Computer Match,"London, UK",2018.01.18,1311451608356943530,Stockfish 8,AlphaZero,0-1,AlphaZero,Stockfish 8,2023-01-01T09:09:26+0000,alphazero_vs_stockfish_all.pgn
11,4039e521-b9ee-446e-9253-63caa1c11b42,12,Computer Match,"London, UK",2018.01.18,17293012532641473451,Stockfish 8,AlphaZero,0-1,AlphaZero,Stockfish 8,2023-01-01T09:09:26+0000,alphazero_vs_stockfish_all.pgn
12,932c9ff0-625e-4fe4-8d9f-5df27874bdc6,13,Computer Match,"London, UK",2018.01.18,982143359799313906,Stockfish 8,AlphaZero,0-1,AlphaZero,Stockfish 8,2023-01-01T09:09:26+0000,alphazero_vs_stockfish_all.pgn
13,39f7a185-e382-4338-84a6-c6dee3d32f0f,14,Computer Match,"London, UK",2018.01.18,10171852109272918171,AlphaZero,Stockfish 8,1-0,AlphaZero,Stockfish 8,2023-01-01T09:09:26+0000,alphazero_vs_stockfish_all.pgn
