name;continent;gender;standard;rapid;blitz;best;age;total_games;win_rate;lose_rate;draw_rate;pc_index
Fawzy, Adham;AFRICA;Male;2495;2530;2539;blitz;23;1855;0.740700809;0.16819407;0.118598383;0.963016852
Ameir, Moheb;AFRICA;Male;2366;2367;2303;rapid;30;2128;0.685150376;0.17387218;0.145676692;0.918256792
Nassr, Lina;AFRICA;Female;2038;1914;1914;standard;20;725;0.684137931;0.182068966;0.151724138;0.922757863
Bellahcene, Bilel;AFRICA;Male;2469;2529;2566;blitz;25;2387;0.623376623;0.155844156;0.232928362;0.884147541
Silva, David;AFRICA;Male;2350;2371;2398;blitz;25;913;0.622124863;0.179627601;0.209200438;0.937962038
Msellek, Ilyass;AFRICA;Male;2420;2363;2302;standard;25;892;0.621076233;0.201793722;0.187219731;0.878719391
Mona, Khaled;AFRICA;Female;2105;2139;2072;rapid;29;1042;0.619961612;0.270633397;0.106525912;0.90622173
Wafa, Shahenda;AFRICA;Female;2099;2020;2008;standard;25;985;0.615228426;0.237563452;0.150253807;0.911711588
Rakotomaharo, Fy Antenaina;AFRICA;Male;2454;2395;2427;standard;24;1284;0.613707165;0.199376947;0.218068536;0.875769231
Moaataz, Ayah;AFRICA;Female;2059;1959;1993;standard;26;479;0.60125261;0.246346555;0.14822547;0.934152493
Wafa, Shrook;AFRICA;Female;2138;2038;2017;standard;26;1057;0.599810785;0.257332072;0.141911069;0.956484338
Henriquez Villagra, Cristobal;AMERICA;Male;2628;2574;2542;standard;27;1660;0.680722892;0.126506024;0.221686747;0.916047293
Salinas Herrera, Pablo;AMERICA;Male;2498;2455;2546;blitz;29;1465;0.673037543;0.14334471;0.208191126;0.872174295
Cori, Jorge;AMERICA;Male;2650;2604;2559;standard;28;1610;0.672049689;0.136645963;0.227329193;0.865615292
Valderrama Quiceno, Esteban Alb;AMERICA;Male;2426;2522;2543;blitz;30;1276;0.656739812;0.086206897;0.272727273;0.923768284
Supi, Luis Paulo;AMERICA;Male;2608;2520;2512;standard;27;774;0.656330749;0.067183463;0.302325581;0.971410133
Tang, Andrew;AMERICA;Male;2523;2433;2596;blitz;24;1044;0.651340996;0.181992337;0.204980843;0.849603127
Rodriguez Rueda, Paula Andrea;AMERICA;Female;2197;2312;2199;rapid;27;992;0.643145161;0.181451613;0.222782258;0.8915079
Martinez Alcantara, Jose Eduardo;AMERICA;Male;2607;2643;2711;blitz;24;1385;0.641155235;0.127075812;0.264981949;0.936222111
Campos, Maria Jose;AMERICA;Female;2236;2137;2170;standard;24;642;0.626168224;0.202492212;0.179127726;0.810578662
Rios, Cristhian Camilo;AMERICA;Male;2469;2483;2562;blitz;30;2001;0.622688656;0.137931034;0.270364818;0.923837181
Holt, Conrad;AMERICA;Male;2540;2548;2592;blitz;30;945;0.617989418;0.154497354;0.264550265;0.918165025
Sosa, Tomas;AMERICA;Male;2544;2480;2560;blitz;25;1821;0.602965404;0.137287205;0.268533773;0.935428083
Cori T., Deysi;AMERICA;Female;2362;2279;2292;standard;30;1831;0.601856909;0.212998362;0.200983069;0.859197711
Dominguez, Laura Lucia;AMERICA;Female;2016;1961;2093;blitz;24;1223;0.601798855;0.266557645;0.136549469;1.006930427
Zherebukh, Yaroslav;AMERICA;Male;2623;2620;2531;standard;30;1143;0.600174978;0.145231846;0.30096238;0.839584717
Chumpitaz, Ann;AMERICA;Female;2259;2204;2148;standard;29;711;0.596343179;0.219409283;0.198312236;0.922231722
Pichot, Alan;AMERICA;Male;2638;2549;2573;standard;25;2159;0.594719778;0.17786012;0.23668365;0.906051986
Sturt, Raven;AMERICA;Male;2470;2456;2402;standard;30;1297;0.585967618;0.215882806;0.203546646;0.915721404
Argote Heredia, Valentina;AMERICA;Female;2216;1999;2083;standard;23;1547;0.585649644;0.288299935;0.123464771;0.943943364
Perez Ponsa, Federico;AMERICA;Male;2532;2593;2590;rapid;30;1485;0.581818182;0.098316498;0.327946128;0.931562854
Librelato, Kathie Goulart;AMERICA;Female;2182;2108;2112;standard;25;703;0.580369844;0.258890469;0.159317212;0.909012876
Ortiz Verdezoto, Anahi;AMERICA;Female;2187;2105;2087;standard;22;810;0.577777778;0.241975309;0.185185185;0.954128566
Castrillon Gomez, Melissa;AMERICA;Female;2235;2144;2187;standard;28;2063;0.56228793;0.241396025;0.190499273;0.931591123
Martinez Ramirez, Lennis;AMERICA;Male;2428;2481;2410;rapid;30;1238;0.560581583;0.234248788;0.21082391;0.922735941
Montilla Reyes, Jorcerys;AMERICA;Female;2139;2137;2033;standard;28;632;0.556962025;0.253164557;0.185126582;0.978796844
Niemann, Hans Moke;AMERICA;Male;2706;2577;2618;standard;20;1576;0.555837563;0.232233503;0.221446701;0.854833373
Quesada Perez, Luis Ernesto;AMERICA;Male;2562;2516;2492;standard;24;814;0.552825553;0.152334152;0.293611794;0.910637932
Gomez Barrera, Javiera Belen;AMERICA;Female;2236;2119;2119;standard;21;1194;0.549413735;0.279731993;0.192629816;0.984229838
Pachon Gutierrez, Adriana Paola;AMERICA;Female;2007;2004;2068;blitz;27;1152;0.548611111;0.28125;0.155381944;0.918052968
Jacobson, Brandon;AMERICA;Male;2556;2451;2459;standard;20;1221;0.545454545;0.234234234;0.241605242;0.869364171
Naroditsky, Daniel;AMERICA;Male;2618;2640;2633;rapid;28;998;0.541082164;0.114228457;0.368737475;0.885629291
Robson, Ray;AMERICA;Male;2704;2596;2660;standard;29;1110;0.538738739;0.181981982;0.347747748;0.838396991
Vazquez Maccarini, Danitza;AMERICA;Female;2080;2040;2014;standard;23;1031;0.533462658;0.263821532;0.204655674;1.029307784
Albornoz Cabrera, Carlos Daniel;AMERICA;Male;2586;2593;2516;rapid;23;1066;0.527204503;0.125703565;0.3630394;0.908160281
Liang, Awonder;AMERICA;Male;2651;2508;2508;standard;20;1215;0.518518519;0.210699588;0.302880658;0.848784878
Xiong, Jeffery;AMERICA;Male;2692;2727;2726;rapid;23;1386;0.513708514;0.12987013;0.373737374;0.899376664
Vazquez, Guillermo;AMERICA;Male;2575;2473;2543;standard;26;1024;0.513671875;0.134765625;0.336914063;0.863394891
Fuentes Godoy, Lilia Ivonne;AMERICA;Female;2196;2057;2096;standard;25;715;0.509090909;0.251748252;0.205594406;0.909744329
Martinez, Ayelen;AMERICA;Female;2099;2167;2125;rapid;30;1046;0.508604207;0.31166348;0.154875717;0.94299315
Derakhshani, Dorsa;AMERICA;Female;2268;2170;2170;standard;25;1171;0.503842869;0.29205807;0.213492741;0.888840737
Besso, Guadalupe;AMERICA;Female;2023;2020;2050;blitz;25;843;0.50059312;0.298932384;0.193357058;0.960169904
Tokhirjonova, Gulrukhbegim;AMERICA;Female;2340;2285;2242;standard;24;1349;0.499629355;0.260934025;0.241660489;0.902437811
Swiercz, Dariusz;AMERICA;Male;2637;2657;2620;rapid;29;1593;0.488386692;0.138104206;0.383553045;0.886328383
Ouellet, Maili-Jade;AMERICA;Female;2246;2145;2077;standard;21;673;0.475482912;0.323922734;0.167904903;0.938924913
Alboredo, Julia;AMERICA;Female;2253;2143;2134;standard;26;1117;0.474485228;0.275738585;0.248880931;0.976228463
Paikidze, Nazi;AMERICA;Female;2316;2400;2293;rapid;30;872;0.467889908;0.254587156;0.302752294;0.888576193
Oparin, Grigoriy;AMERICA;Male;2667;2650;2647;standard;26;2054;0.466407011;0.159688413;0.399707887;0.884182488
Sevian, Samuel;AMERICA;Male;2684;2581;2695;blitz;23;1206;0.457711443;0.167495854;0.403814262;0.846134257
Yu, Jennifer;AMERICA;Female;2303;2217;2197;standard;21;1032;0.457364341;0.273255814;0.277131783;0.861929488
Yip, Carissa;AMERICA;Female;2369;2393;2285;rapid;20;643;0.441679627;0.298600311;0.242612753;0.921841125
Troff, Kayden;AMERICA;Male;2483;2480;2544;blitz;25;720;0.436111111;0.219444444;0.3375;0.878995434
Hernandez Machado, Patricia M.;AMERICA;Female;2148;2073;2093;standard;20;444;0.427927928;0.36036036;0.231981982;0.93697479
So, Wesley;AMERICA;Male;2760;2788;2749;rapid;30;1983;0.425617751;0.10186586;0.522945033;0.862131354
Cervantes Landeiro, Thalia;AMERICA;Female;2271;2172;2172;standard;21;802;0.413965087;0.29925187;0.265586035;0.871653701
Cancio-Bello Ayes, Flavia;AMERICA;Female;2069;2085;2009;rapid;30;554;0.40433213;0.339350181;0.292418773;0.953314065
Gutierrez Espinosa, Karen;AMERICA;Female;2079;2069;2034;standard;28;817;0.374541004;0.318237454;0.314565483;0.860494822
Mitrabha, Guha;ASIA;Male;2510;2401;2507;standard;22;1710;0.650292398;0.167251462;0.210526316;0.902455647
Makhnev, Denis;ASIA;Male;2483;2505;2515;blitz;23;2184;0.649267399;0.155677656;0.218406593;0.903714829
Salem, A.R. Saleh;ASIA;Male;2677;2662;2639;standard;30;2383;0.6319765;0.164498531;0.224926563;0.914351411
Maghsoodloo, Parham;ASIA;Male;2730;2672;2647;standard;23;2139;0.613370734;0.169237962;0.245441795;0.947835774
Aravindh, Chithambaram VR.;ASIA;Male;2607;2553;2596;standard;24;2163;0.612112806;0.176606565;0.239944521;0.929307972
Ghosh, Diptayan;ASIA;Male;2565;2442;2552;standard;25;1492;0.609919571;0.103217158;0.335120643;0.87592442
